,name,code,rarity,min_price,avg_price
0,Dark Contract with the Gate,SDPD,Common,0.35,2.26
1,Dark Contract with the Gate,DOCS,Common,0.39,1.74
2,Dark Contract with the Gate,MP16,Common,0.49,2.35
3,Dark Contract with the Gate,GFP2,Ultra Rare,0.93,1.74
0,Vaylantz World - Konig Wissen,TAMA,Super Rare,0.52,1.78
0,Lava Golem,DPBC,Rare,3.75,5.82
1,Lava Golem,IOC-,Ultra Rare,3.99,9.6
2,Lava Golem,SDMA,Ultra Rare,4.0,7.82
3,Lava Golem,SDSH,Common,4.0,5.4
4,Lava Golem,LCJW,Rare,4.5,7.25
5,Lava Golem,SS05,Common,4.9,7.33
6,Lava Golem,RP02,Super Rare,4.98,15.85
7,Lava Golem,HAC1,Duel Terminal Ultra Parallel Rare,4.99,7.42
8,Lava Golem,DR1-,Ultra Rare,5.99,14.4
9,Lava Golem,PGD-,Secret Rare,9.95,40.22
10,Lava Golem,DT03,Duel Terminal Super Parallel Rare,24.95,24.95
11,Lava Golem,STP3,Ultra Rare,40.99,53.51
0,Gagaku-P.U.N.K. Crash Beat,GRCR,Rare,0.55,1.71
0,Parasomnia Pillow,DIFO,Common,0.56,1.81
0,Dark Paladin,MIL1,Common,0.98,2.17
1,Dark Paladin,YGLD,Common,0.99,1.56
2,Dark Paladin,SBCB,Common,1.0,1.64
3,Dark Paladin,SDMY,Common,1.12,1.64
4,Dark Paladin,SBCB,Secret Rare,1.13,1.64
5,Dark Paladin,LEDD,Common,1.25,1.71
6,Dark Paladin,HAC1,Duel Terminal Ultra Parallel Rare,1.46,2.05
7,Dark Paladin,DPYG,Ultra Rare,3.52,7.55
8,Dark Paladin,MFC-,Ultra Rare,10.35,35.21
9,Dark Paladin,DR1-,Ultra Rare,10.63,28.56
10,Dark Paladin,LCYW,Secret Rare,11.98,26.66
11,Dark Paladin,DT03,Duel Terminal Rare Parallel Rare,12.5,22.24
12,Dark Paladin,DMG-,Secret Rare,16.98,46.42
0,Haunted Zombies,DIFO,Common,0.33,1.72
0,Endless Engine Argyro System,DIFO,Ultra Rare,1.0,2.25
0,Life Extreme,POTE,Common,0.5,1.64
0,Elemental HERO Shining Neos Wingman,POTE,Ultra Rare,1.82,2.96
0,Thunder Discharge,GRCR,Rare,0.41,1.76
0,Dodododwarf Gogogoglove,LDS3,Common,0.29,1.17
1,Dodododwarf Gogogoglove,LED6,Rare,0.6,1.8
0,Earthbound Geoglyph,LDS3,Common,0.54,1.17
1,Earthbound Geoglyph,LED5,Super Rare,1.41,2.0
0,Beast King Unleashed,DAMA,Common,0.43,1.71
1,Beast King Unleashed,MP22,Super Rare,0.48,1.14
0,Dark Magician the Dragon Knight,GFP2,Ultra Rare,0.91,1.89
1,Dark Magician the Dragon Knight,LEDD,Ultra Rare,1.98,4.16
0,Magikey Unlocking,DAMA,Common,0.43,1.69
1,Magikey Unlocking,MP22,Common,0.46,1.16
0,Ghostrick Socuteboss,GFP2,Ultra Rare,0.29,1.61
1,Ghostrick Socuteboss,PRIO,Rare,0.59,2.13
0,Ghostrick Jiangshi,GFP2,Ultra Rare,0.48,1.52
1,Ghostrick Jiangshi,SHSP,Common,0.78,1.71
2,Ghostrick Jiangshi,MP14,Common,1.33,2.04
0,O - Oversoul,EOJ-,Common,0.3,1.32
1,O - Oversoul,DP03,Common,0.38,1.35
2,O - Oversoul,LDS3,Common,0.54,1.21
3,O - Oversoul,SDHS,Common,1.1,1.3
4,O - Oversoul,LCGX,Common,1.2,1.35
5,O - Oversoul,RYMP,Secret Rare,1.44,1.83
6,O - Oversoul,DR04,Common,1.67,2.43
0,Pendulum Dimension,LED6,Common,0.25,1.69
1,Pendulum Dimension,LDS3,Common,0.29,1.2
0,Zombie World,OP07,Common,0.79,2.48
1,Zombie World,SR07,Common,0.79,2.62
2,Zombie World,GFP2,Ultra Rare,0.86,1.88
3,Zombie World,DUOV,Ultra Rare,1.16,2.31
4,Zombie World,SDZW,Common,1.58,2.3
5,Zombie World,LCJW,Ultra Rare,2.28,4.15
6,Zombie World,DL13,Rare,18.99,20.98
0,Magikey Duo,DAMA,Common,0.43,1.65
1,Magikey Duo,MP22,Common,0.46,1.12
0,Predaplant Drosophyllum Hydra,LDS3,Common,0.54,1.14
1,Predaplant Drosophyllum Hydra,LED5,Common,0.57,1.74
2,Predaplant Drosophyllum Hydra,FUEN,Secret Rare,1.11,1.5
0,Spikeshield with Chain,SGX1,Common,0.54,1.17
1,Spikeshield with Chain,CBLZ,Common,0.99,1.2
2,Spikeshield with Chain,BP02,Rare,0.99,1.32
3,Spikeshield with Chain,BP02,Mosaic Rare,1.15,1.32
0,Full Armored Black Ray Lancer,LED9,Common,0.41,1.72
1,Full Armored Black Ray Lancer,DUSA,Ultra Rare,0.99,1.66
0,Doll Happiness,BACH,Common,0.33,1.75
0,Marincess Blue Tang,LED9,Common,0.29,1.65
1,Marincess Blue Tang,MP20,Super Rare,0.84,1.84
2,Marincess Blue Tang,CHIM,Secret Rare,6.99,10.29
0,Branded Bond,DAMA,Common,0.25,1.71
1,Branded Bond,SDAZ,Common,0.25,1.15
2,Branded Bond,MP22,Ultra Rare,0.49,1.17
0,Naturia Leodrake,HAC1,Common,0.25,1.53
1,Naturia Leodrake,HA02,Secret Rare,0.56,1.74
2,Naturia Leodrake,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.6
3,Naturia Leodrake,DT02,Duel Terminal Super Parallel Rare,23.94,23.94
0,Shining Piecephilia,BACH,Common,0.41,1.76
0,Vaylantz World - Shinra Bansho,TAMA,Super Rare,0.35,1.75
0,Beetrooper Formation,MP22,Common,0.42,1.13
1,Beetrooper Formation,DAMA,Super Rare,0.64,1.68
0,Stained Glass of Light & Dark,MP22,Rare,0.54,1.13
1,Stained Glass of Light & Dark,BODE,Super Rare,1.09,1.8
0,Impcantation Penciplume,SOFU,Common,0.63,1.74
1,Impcantation Penciplume,OP18,Common,0.66,1.32
2,Impcantation Penciplume,MP19,Super Rare,0.99,1.96
0,Dark Infant @Ignister,MP22,Ultra Rare,0.39,1.16
1,Dark Infant @Ignister,LIOV,Super Rare,0.69,1.91
0,The Phantom Knights of Break Sword,MGED,Rare,0.29,1.25
1,The Phantom Knights of Break Sword,LEHD,Ultra Rare,0.72,1.97
2,The Phantom Knights of Break Sword,OP18,Super Rare,0.72,1.47
3,The Phantom Knights of Break Sword,BLLR,Secret Rare,1.0,3.0
4,The Phantom Knights of Break Sword,WIRA,Secret Rare,2.49,5.52
0,Dragunity Knight - Gae Bulg,HAC1,Duel Terminal Ultra Parallel Rare,0.99,2.03
1,Dragunity Knight - Gae Bulg,HA03,Secret Rare,1.48,1.88
2,Dragunity Knight - Gae Bulg,DT03,Duel Terminal Ultra Parallel Rare,5.0,10.02
0,Ally of Justice Cosmic Gateway,HAC1,Common,0.42,1.61
1,Ally of Justice Cosmic Gateway,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.64
2,Ally of Justice Cosmic Gateway,DT02,Duel Terminal Super Parallel Rare,0.99,0.99
3,Ally of Justice Cosmic Gateway,HA02,Secret Rare,1.19,1.37
0,Garden Rose Flora,MP22,Rare,0.29,1.16
1,Garden Rose Flora,LIOV,Super Rare,0.49,1.52
0,Foolish Burial Goods,SDCB,Common,0.58,1.53
1,Foolish Burial Goods,SR06,Common,1.68,2.98
2,Foolish Burial Goods,MAGO,Rare,1.88,3.22
3,Foolish Burial Goods,DASA,Super Rare,1.92,3.37
4,Foolish Burial Goods,RATE,Secret Rare,2.98,19.0
5,Foolish Burial Goods,BLRR,Ultra Rare,3.31,4.51
6,Foolish Burial Goods,MP17,Secret Rare,5.75,12.93
0,Exosister Asophiel,GRCR,Super Rare,0.39,1.67
0,Advanced Dark,SGX1,Common,0.54,1.15
1,Advanced Dark,SDCB,Common,0.54,1.13
2,Advanced Dark,LDS1,Common,0.99,1.7
3,Advanced Dark,SHVA,Super Rare,1.06,1.27
4,Advanced Dark,REDU,Secret Rare,7.19,17.02
0,Swallow's Nest,HAC1,Common,0.33,1.17
1,Swallow's Nest,WIRA,Rare,0.99,2.78
2,Swallow's Nest,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.73
3,Swallow's Nest,RGBT,Super Rare,4.0,10.27
0,Wandering Gryphon Rider,GRCR,Super Rare,0.54,1.49
0,Dance Princess of the Ice Barrier,HAC1,Common,0.42,1.68
1,Dance Princess of the Ice Barrier,SDFC,Common,0.99,1.74
2,Dance Princess of the Ice Barrier,HAC1,Duel Terminal Normal Parallel Rare,1.05,1.74
3,Dance Princess of the Ice Barrier,STBL,Super Rare,2.99,7.5
0,Crystal Pair,SDCB,Common,0.25,1.15
1,Crystal Pair,LCGX,Common,0.99,3.12
2,Crystal Pair,DP07,Rare,1.35,2.65
0,The Winged Dragon of Ra - Sphere Mode,DUPO,Ultra Rare,12.84,18.27
1,The Winged Dragon of Ra - Sphere Mode,DPBC,Ultra Rare,13.99,17.24
2,The Winged Dragon of Ra - Sphere Mode,CIBR,Super Rare,14.99,17.31
3,The Winged Dragon of Ra - Sphere Mode,GFP2,Ghost Rare,49.99,75.3
0,Fabled Dyf,HAC1,Common,0.42,1.63
1,Fabled Dyf,HA03,Super Rare,0.99,1.25
2,Fabled Dyf,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.68
3,Fabled Dyf,DT03,Duel Terminal Normal Parallel Rare,8.83,8.83
0,The Melody of Awakening Dragon,SDCB,Common,0.25,1.22
1,The Melody of Awakening Dragon,CROS,Super Rare,1.49,3.67
2,The Melody of Awakening Dragon,LED3,Common,1.79,2.61
3,The Melody of Awakening Dragon,OP02,Common,1.83,3.33
4,The Melody of Awakening Dragon,LDK2,Ultra Rare,1.89,2.67
5,The Melody of Awakening Dragon,MP16,Super Rare,2.49,3.23
6,The Melody of Awakening Dragon,LCKC,Secret Rare,3.99,6.96
0,Scareclaw Reichheart,DIFO,Ultra Rare,2.39,5.89
0,Scareclaw Straddle,POTE,Super Rare,0.43,1.62
0,Destiny Signal,SGX1,Common,0.54,1.16
1,Destiny Signal,RYMP,Super Rare,0.57,1.19
2,Destiny Signal,LEHD,Common,0.57,1.63
3,Destiny Signal,DESO,Super Rare,0.67,1.22
4,Destiny Signal,EOJ-,Common,0.99,1.21
5,Destiny Signal,DP05,Common,0.99,1.24
6,Destiny Signal,LCGX,Common,0.99,1.34
7,Destiny Signal,DR04,Rare,1.53,3.04
0,Archfiend's Ghastly Glitch,TAMA,Super Rare,0.49,1.28
0,Darton the Mechanical Monstrosity,BACH,Common,0.33,1.68
0,Dragunity Dux,HAC1,Duel Terminal Ultra Parallel Rare,0.99,1.82
1,Dragunity Dux,SDDL,Common,1.0,1.56
2,Dragunity Dux,LCKC,Ultra Rare,1.0,1.71
3,Dragunity Dux,HA03,Secret Rare,1.48,2.34
4,Dragunity Dux,DT03,Duel Terminal Super Parallel Rare,12.06,18.09
0,Inzektor Exa-Beetle,BROL,Ultra Rare,0.25,1.58
1,Inzektor Exa-Beetle,GRCR,Rare,1.0,1.76
2,Inzektor Exa-Beetle,ORCS,Secret Rare,3.49,5.73
0,Bujincandescence,LIOV,Common,0.38,1.79
1,Bujincandescence,MP22,Common,0.54,1.12
0,Skilled Brown Magician,BACH,Common,0.33,1.61
0,Dimension Conjurer,BACH,Common,0.33,1.74
0,D/D/D Oracle King d'Arc,OP19,Super Rare,1.16,1.64
1,D/D/D Oracle King d'Arc,SP17,Starfoil Rare,1.25,4.18
2,D/D/D Oracle King d'Arc,CORE,Rare,2.18,2.81
3,D/D/D Oracle King d'Arc,MP16,Rare,2.19,4.63
4,D/D/D Oracle King d'Arc,SP17,Common,2.25,4.03
0,Dragunity Militum,HAC1,Common,0.42,1.57
1,Dragunity Militum,SDDL,Common,0.65,1.23
2,Dragunity Militum,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.69
3,Dragunity Militum,HA04,Super Rare,1.19,1.5
4,Dragunity Militum,DT04,Duel Terminal Rare Parallel Rare,3.59,7.13
0,Traptrix Vesiculo,MP22,Super Rare,0.39,1.16
1,Traptrix Vesiculo,LIOV,Ultra Rare,1.16,2.04
0,Allvain the Essence of Vanity,MP22,Ultra Rare,0.54,1.2
1,Allvain the Essence of Vanity,DAMA,Common,1.09,1.92
0,Marincess Wonder Heart,LED9,Common,0.33,1.66
1,Marincess Wonder Heart,CHIM,Common,0.43,1.63
2,Marincess Wonder Heart,MP20,Common,0.66,1.02
3,Marincess Wonder Heart,RIRA,Super Rare,0.67,2.07
0,Branded Expulsion,POTE,Common,0.58,1.14
0,Black Luster Soldier,YGLD,Common,0.35,1.54
1,Black Luster Soldier,LCYW,Common,0.69,2.7
2,Black Luster Soldier,DPYG,Rare,0.86,1.96
3,Black Luster Soldier,SS04,Common,1.0,2.57
4,Black Luster Soldier,SYE-,Ultra Rare,1.39,5.67
5,Black Luster Soldier,STP3,Super Rare,1.89,4.22
6,Black Luster Soldier,DPBC,Super Rare,2.69,4.11
7,Black Luster Soldier,DT07,Duel Terminal Rare Parallel Rare,12.06,17.25
0,D/D Swirl Slime,DOCS,Common,1.04,1.57
1,D/D Swirl Slime,GFP2,Ultra Rare,1.16,1.82
2,D/D Swirl Slime,SP17,Common,1.29,2.27
3,D/D Swirl Slime,SP17,Starfoil Rare,1.29,2.24
4,D/D Swirl Slime,OP04,Super Rare,1.32,3.42
5,D/D Swirl Slime,MP16,Common,1.36,2.51
0,Gorz the Emissary of Darkness,OP19,Common,1.29,1.8
1,Gorz the Emissary of Darkness,DLG1,Secret Rare,2.0,4.24
2,Gorz the Emissary of Darkness,BP01,Rare,2.19,4.14
3,Gorz the Emissary of Darkness,BP01,Starfoil Rare,2.19,4.04
4,Gorz the Emissary of Darkness,PGL2,Gold Rare,2.19,3.99
5,Gorz the Emissary of Darkness,LCYW,Ultra Rare,3.99,5.0
6,Gorz the Emissary of Darkness,RP02,Secret Rare,4.53,12.5
7,Gorz the Emissary of Darkness,YR01,Ultra Rare,4.76,13.27
8,Gorz the Emissary of Darkness,DL13,Rare,6.55,9.31
9,Gorz the Emissary of Darkness,GLD5,Ghost/Gold Rare,18.29,28.18
0,Ally Mind,HAC1,Common,0.33,1.57
1,Ally Mind,DT02,Duel Terminal Normal Parallel Rare,0.88,0.88
2,Ally Mind,HA02,Super Rare,0.99,1.25
3,Ally Mind,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.64
0,Dinomorphia Sonic,BACH,Common,0.33,1.64
0,Primeval Planet Perlereino,POTE,Secret Rare,7.38,95.54
0,Waking the Dragon,SDAZ,Common,0.25,1.54
1,Waking the Dragon,OP08,Super Rare,0.83,2.93
2,Waking the Dragon,FLOD,Short Print,0.99,1.58
3,Waking the Dragon,MP19,Common,1.0,1.76
4,Waking the Dragon,SBTK,Common,1.1,2.24
5,Waking the Dragon,MYFI,Super Rare,1.39,2.46
6,Waking the Dragon,STP3,Super Rare,4.09,5.08
0,Vaylantz Mad Marquess,TAMA,Rare,0.53,1.14
0,Libromancer Geek Boy,BACH,Secret Rare,1.39,5.51
1,Libromancer Geek Boy,BACH,Ultra Rare,6.75,12.14
0,Branded Retribution,SDAZ,Super Rare,0.47,1.18
0,Scareclaw Alternative,DIFO,Common,0.29,1.64
0,Fairy Archer Ingunar,BLVO,Common,0.33,1.68
1,Fairy Archer Ingunar,MP22,Common,0.46,1.13
0,Materiactor Gigaboros,BLVO,Super Rare,0.45,1.69
1,Materiactor Gigaboros,MP22,Common,0.54,1.11
0,Ogdoadic Serpent Strike,BACH,Common,0.33,1.64
0,"Malice, Lady of Lament",TAMA,Rare,0.52,1.7
1,"Malice, Lady of Lament",MP21,Prismatic Secret Rare,0.82,1.56
2,"Malice, Lady of Lament",ETCO,Super Rare,1.13,1.46
3,"Malice, Lady of Lament",ETCO,Ultra Rare,4.81,12.82
0,Evil HERO Malicious Edge,LED5,Common,0.25,1.22
1,Evil HERO Malicious Edge,LDS3,Common,0.29,1.17
2,Evil HERO Malicious Edge,BP02,Rare,0.49,1.58
3,Evil HERO Malicious Edge,BP02,Mosaic Rare,0.49,1.58
4,Evil HERO Malicious Edge,DP06,Super Rare,0.89,2.24
5,Evil HERO Malicious Edge,GLAS,Super Rare,1.19,1.86
6,Evil HERO Malicious Edge,GLAS,Ultimate Rare,1.49,1.86
7,Evil HERO Malicious Edge,LCGX,Secret Rare,1.94,6.22
0,Predaplant Ambulomelides,DIFO,Common,0.39,1.66
0,Hidden Springs of the Far East,LIOV,Common,0.25,1.71
1,Hidden Springs of the Far East,MP22,Common,0.25,1.13
0,Marincess Aqua Argonaut,LED9,Ultra Rare,0.82,1.97
0,Toon World,LCYW,Rare,0.25,2.87
1,Toon World,DPBC,Common,0.25,1.67
2,Toon World,TOCH,Rare,0.25,1.25
3,Toon World,MIL1,Common,0.3,1.4
4,Toon World,DB1-,Common,0.35,1.41
5,Toon World,SS01,Common,0.35,1.69
6,Toon World,SS04,Common,0.35,1.51
7,Toon World,DLG1,Common,0.59,1.57
8,Toon World,LDS1,Ultra Rare,0.76,2.18
9,Toon World,SDP-,Common,1.0,1.47
10,Toon World,RP01,Common,1.56,3.31
11,Toon World,GLD4,Common,1.6,2.94
12,Toon World,MRL-,Super Rare,1.83,3.52
13,Toon World,MRL-,Super Rare,2.78,2.78
14,Toon World,STP3,Super Rare,2.79,3.5
15,Toon World,SRL-,Super Rare,2.98,5.86
16,Toon World,SRL-,Super Rare,6.56,12.61
0,Dragunity Javelin,HAC1,Common,0.33,1.67
1,Dragunity Javelin,SDDL,Common,0.65,1.23
2,Dragunity Javelin,HA04,Super Rare,0.99,1.44
3,Dragunity Javelin,HAC1,Duel Terminal Normal Parallel Rare,0.99,1.76
4,Dragunity Javelin,DT04,Duel Terminal Normal Parallel Rare,0.99,1.5
0,Puppet Queen,GFP2,Ultra Rare,0.29,1.6
0,Gaiarmor Dragonshell,DAMA,Common,0.43,1.67
1,Gaiarmor Dragonshell,MP22,Ultra Rare,0.54,1.19
0,Maple Maiden,BACH,Common,0.25,1.66
0,Ukiyoe-P.U.N.K. Rising Carp,GRCR,Rare,1.03,1.74
0,Link Apple,DAMA,Super Rare,0.5,1.61
1,Link Apple,MP22,Common,0.54,1.12
0,Trap Jammer,DP04,Common,0.54,2.0
1,Trap Jammer,SGX1,Common,0.54,1.18
2,Trap Jammer,IOC-,Super Rare,1.19,1.82
3,Trap Jammer,LCJW,Secret Rare,1.24,2.38
4,Trap Jammer,SD1-,Common,1.33,1.68
5,Trap Jammer,SS02,Common,1.48,1.92
6,Trap Jammer,DR2-,Rare,1.69,2.95
7,Trap Jammer,DT02,Duel Terminal Normal Parallel Rare,5.49,5.49
8,Trap Jammer,IOC-,Super Rare,16.98,16.98
0,"Despia, Theater of the Branded",MP22,Rare,0.54,1.25
1,"Despia, Theater of the Branded",DAMA,Common,0.64,1.2
2,"Despia, Theater of the Branded",GFP2,Ultra Rare,0.82,1.52
0,Smile Action,LED6,Common,0.33,1.17
1,Smile Action,LDS3,Common,0.54,1.21
0,Ojama Red,SGX1,Common,0.35,1.24
1,Ojama Red,OP08,Common,0.49,2.2
2,Ojama Red,RGBT,Rare,1.18,3.34
0,Rainbow Gravity,LODT,Common,0.25,1.23
1,Rainbow Gravity,LDS1,Common,0.25,1.73
